target_size,density,has_buffer,has_background,duration,peak_memory
1,0,False,False,0:00:05.288000,1.2
1,0,True,False,0:00:10.793000,2.5
1,0,True,True,0:00:28.471000,10.4
2,0,False,False,0:00:04.916000,1.2
2,0,True,False,0:00:09.091000,2.5
2,0,True,True,0:00:28.603000,10.4
5,0,False,False,0:00:05.249000,1.3
5,0,True,False,0:00:09.385000,2.5
5,0,True,True,0:00:27.104000,10.4
10,0,False,False,0:00:06.454000,1.5
10,0,True,False,0:00:10.534000,2.5
10,0,True,True,0:00:31.249000,10.4
20,0,False,False,0:00:12.237000,2.3
20,0,True,False,0:00:17.725000,2.5
20,0,True,True,0:00:37.103000,10.4
50,0,False,False,0:00:52.510000,8.1
50,0,True,False,0:00:59.141000,8.1
50,0,True,True,0:01:19.212000,10.4
