target_size,density,has_buffer,has_background,duration,peak_memory
1,0,False,False,0:00:16.819000,0.48519999999999996
1,0,False,True,0:00:07.186000,0.1691
1,0,True,False,0:00:27.613000,1.2
1,0,True,True,0:00:32.392000,1.1
2,0,False,False,0:00:18.790000,0.5221
2,0,False,True,0:00:07.257000,0.1691
2,0,True,False,0:00:28.920000,1.2
2,0,True,True,0:00:34.524000,1.1
5,0,False,False,0:00:23.649000,0.7502000000000001
5,0,False,True,0:00:07.239000,0.1691
5,0,True,False,0:00:33.725000,1.2
5,0,True,True,0:00:41.802000,1.1
10,0,False,False,0:00:25.652000,1.2
10,0,False,True,0:00:07.320000,0.1689
10,0,True,False,0:00:36.137000,1.4
10,0,True,True,0:00:45.493000,1.4
10,10,True,True,0:01:06.493000,2.6
10,100,True,True,0:03:03.674000,5.4
10,450,True,True,0:10:03.850000,14.8
10,1000,True,True,0:21:20.756000,30.7
20,0,False,False,0:00:31.930000,1.9
20,0,False,True,0:00:07.230000,0.1691
20,0,True,False,0:00:40.350000,2.6
20,0,True,True,0:00:49.665000,2.6
50,0,False,False,0:01:01.032000,11.2
50,0,False,True,0:00:07.413000,0.1691
50,0,True,False,0:01:15.624000,12.4
50,0,True,True,0:01:24.926000,12.1
